LAUS Code,State FIPS Code,County FIPS Code,County Name,State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Geolocation
CN1809700000000,18,097,Marion County,IN,01/01/2014 12:00:00 AM,467622,437113,30509,6.5,"Marion County, IN
(39.494701, -87.445801)"
CN2706500000000,27,065,Kanabec County,MN,01/01/2014 12:00:00 AM,8816,8159,657,7.5,"Kanabec County, MN
(45.846451, -93.431549)"
CN2200300000000,22,003,Allen Parish,LA,01/01/2014 12:00:00 AM,8909,8269,640,7.2,"Allen Parish, LA
(30.176399, -91.1231)"
CN2709300000000,27,093,Meeker County,MN,01/01/2014 12:00:00 AM,12809,12219,590,4.6,"Meeker County, MN
(46.610181, -93.312575)"
CN1915300000000,19,153,Polk County,IA,01/01/2014 12:00:00 AM,256517,245593,10924,4.3,"Polk County, IA
(40.967741, -91.285012)"
CN1918700000000,19,187,Webster County,IA,01/01/2014 12:00:00 AM,19894,18925,969,4.9,"Webster County, IA
(42.46942, -93.815856)"
CN1903300000000,19,033,Cerro Gordo County,IA,01/01/2014 12:00:00 AM,23311,22220,1091,4.7,"Cerro Gordo County, IA
(41.774671, -93.66984)"
CN2209300000000,22,093,St. James Parish,LA,01/01/2014 12:00:00 AM,9783,8942,841,8.6,"St. James Parish, LA
(30.037211, -90.851999)"
CN1713900000000,17,139,Moultrie County,IL,01/01/2014 12:00:00 AM,7065,6685,380,5.4,"Moultrie County, IL
(39.762551, -89.634265)"
CN2011100000000,20,111,Lyon County,KS,01/01/2014 12:00:00 AM,16536,15690,846,5.1,"Lyon County, KS
(39.249426, -94.899962)"
CN1716100000000,17,161,Rock Island County,IL,01/01/2014 12:00:00 AM,72779,67673,5106,7,"Rock Island County, IL
(41.472348, -90.583568)"
CN2606100000000,26,061,Houghton County,MI,01/01/2014 12:00:00 AM,16925,15618,1307,7.7,"Houghton County, MI
(47.121239, -88.564482)"
CN2911300000000,29,113,Lincoln County,MO,01/01/2014 12:00:00 AM,26686,24958,1728,6.5,"Lincoln County, MO
(38.391017, -93.336386)"
CN2713900000000,27,139,Scott County,MN,01/01/2014 12:00:00 AM,77860,75051,2809,3.6,"Scott County, MN
(43.982464, -94.62708)"
CN2201100000000,22,011,Beauregard Parish,LA,01/01/2014 12:00:00 AM,14936,13932,1004,6.7,"Beauregard Parish, LA
(30.146237, -91.959821)"
CN2604100000000,26,041,Delta County,MI,01/01/2014 12:00:00 AM,17424,15940,1484,8.5,"Delta County, MI
(42.726398, -84.662201)"
CN2117300000000,21,173,Montgomery County,KY,01/01/2014 12:00:00 AM,11764,10887,877,7.5,"Montgomery County, KY
(36.830146, -84.84864)"
CN2002900000000,20,029,Cloud County,KS,01/01/2014 12:00:00 AM,4396,4211,185,4.2,"Cloud County, KS
(38.040446, -102.008811)"
CN2902900000000,29,029,Camden County,MO,01/01/2014 12:00:00 AM,18878,17349,1529,8.1,"Camden County, MO
(38.009226, -92.744233)"
CN1710700000000,17,107,Logan County,IL,01/01/2014 12:00:00 AM,13058,12230,828,6.3,"Logan County, IL
(40.641579, -88.782133)"
CN2703500000000,27,035,Crow Wing County,MN,01/01/2014 12:00:00 AM,31351,29510,1841,5.9,"Crow Wing County, MN
(44.905399, -93.7453)"
CN2502500000000,25,025,Suffolk County,MA,01/01/2014 12:00:00 AM,413533,391518,22015,5.3,"Suffolk County, MA
(42.389702, -70.998299)"
CN1909500000000,19,095,Iowa County,IA,01/01/2014 12:00:00 AM,10241,9810,431,4.2,"Iowa County, IA
(41.9286, -93.404999)"
CN1901700000000,19,017,Bremer County,IA,01/01/2014 12:00:00 AM,14222,13697,525,3.7,"Bremer County, IA
(42.7733, -92.394699)"
CN1806300000000,18,063,Hendricks County,IN,01/01/2014 12:00:00 AM,80693,76992,3701,4.6,"Hendricks County, IN
(41.227993, -85.172187)"
CN1705700000000,17,057,Fulton County,IL,01/01/2014 12:00:00 AM,15794,14451,1343,8.5,"Fulton County, IL
(41.863731, -90.157866)"
CN1919100000000,19,191,Winneshiek County,IA,01/01/2014 12:00:00 AM,12101,11583,518,4.3,"Winneshiek County, IA
(40.8503, -91.899696)"
CN2013900000000,20,139,Osage County,KS,01/01/2014 12:00:00 AM,8150,7706,444,5.4,"Osage County, KS
(38.636762, -95.82936)"
CN1606700000000,16,067,Minidoka County,ID,01/01/2014 12:00:00 AM,10422,9946,476,4.6,"Minidoka County, ID
(42.754707, -113.491261)"
CN2122500000000,21,225,Union County,KY,01/01/2014 12:00:00 AM,6763,6330,433,6.4,"Union County, KY
(37.797199, -84.1978)"
CN2710100000000,27,101,Murray County,MN,01/01/2014 12:00:00 AM,4839,4603,236,4.9,"Murray County, MN
(47.299198, -92.2183)"
CN1702900000000,17,029,Coles County,IL,01/01/2014 12:00:00 AM,24343,22706,1637,6.7,"Coles County, IL
(40.224998, -87.803902)"
CN1717500000000,17,175,Stark County,IL,01/01/2014 12:00:00 AM,2811,2603,208,7.4,"Stark County, IL
(38.830713, -90.063069)"
CN2802300000000,28,023,Clarke County,MS,01/01/2014 12:00:00 AM,6264,5699,565,9,"Clarke County, MS
(34.202624, -90.57496)"
CN2010500000000,20,105,Lincoln County,KS,01/01/2014 12:00:00 AM,1774,1701,73,4.1,"Lincoln County, KS
(39.040798, -98.144402)"
CN2807500000000,28,075,Lauderdale County,MS,01/01/2014 12:00:00 AM,32552,30095,2457,7.5,"Lauderdale County, MS
(32.520689, -88.514471)"
CN2801300000000,28,013,Calhoun County,MS,01/01/2014 12:00:00 AM,6236,5769,467,7.5,"Calhoun County, MS
(31.644307, -89.556735)"
CN2112500000000,21,125,Laurel County,KY,01/01/2014 12:00:00 AM,24144,22306,1838,7.6,"Laurel County, KY
(37.244999, -83.748901)"
CN2803700000000,28,037,Franklin County,MS,01/01/2014 12:00:00 AM,2905,2661,244,8.4,"Franklin County, MS
(33.293191, -89.399038)"
CN2603300000000,26,033,Chippewa County,MI,01/01/2014 12:00:00 AM,16860,15248,1612,9.6,"Chippewa County, MI
(45.646812, -84.474826)"
CN1905900000000,19,059,Dickinson County,IA,01/01/2014 12:00:00 AM,9743,9284,459,4.7,"Dickinson County, IA
(43.134047, -95.021918)"
CN2902500000000,29,025,Caldwell County,MO,01/01/2014 12:00:00 AM,4352,4114,238,5.5,"Caldwell County, MO
(38.689014, -91.958566)"
CN2009100000000,20,091,Johnson County,KS,01/01/2014 12:00:00 AM,321234,309100,12134,3.8,"Johnson County, KS
(37.570192, -101.752239)"
CN1906500000000,19,065,Fayette County,IA,01/01/2014 12:00:00 AM,10829,10283,546,5,"Fayette County, IA
(41.520302, -93.615601)"
CN2113500000000,21,135,Lewis County,KY,01/01/2014 12:00:00 AM,5175,4677,498,9.6,"Lewis County, KY
(37.075745, -88.973437)"
CN1705900000000,17,059,Gallatin County,IL,01/01/2014 12:00:00 AM,2469,2295,174,7,"Gallatin County, IL
(40.110598, -91.018412)"
CN2302900000000,23,029,Washington County,ME,01/01/2014 12:00:00 AM,14495,13234,1261,8.7,"Washington County, ME
(44.27357, -69.367727)"
CN1906700000000,19,067,Floyd County,IA,01/01/2014 12:00:00 AM,8437,8053,384,4.6,"Floyd County, IA
(41.7486, -90.354698)"
CN1715300000000,17,153,Pulaski County,IL,01/01/2014 12:00:00 AM,2141,1921,220,10.3,"Pulaski County, IL
(41.667958, -87.79891)"
CN2612100000000,26,121,Muskegon County,MI,01/01/2014 12:00:00 AM,77121,71153,5968,7.7,"Muskegon County, MI
(43.234221, -86.246388)"
CN2814700000000,28,147,Walthall County,MS,01/01/2014 12:00:00 AM,5152,4664,488,9.5,"Walthall County, MS
(33.605175, -89.280304)"
CN2702500000000,27,025,Chisago County,MN,01/01/2014 12:00:00 AM,28471,27128,1343,4.7,"Chisago County, MN
(45.37489, -92.886602)"
CN1716700000000,17,167,Sangamon County,IL,01/01/2014 12:00:00 AM,104663,98537,6126,5.9,"Sangamon County, IL
(39.866699, -88.855797)"
CN1801900000000,18,019,Clark County,IN,01/01/2014 12:00:00 AM,57614,54511,3103,5.4,"Clark County, IN
(38.307802, -85.768909)"
CN2107900000000,21,079,Garrard County,KY,01/01/2014 12:00:00 AM,7594,7099,495,6.5,"Garrard County, KY
(37.1236, -83.746399)"
CN1814300000000,18,143,Scott County,IN,01/01/2014 12:00:00 AM,10189,9498,691,6.8,"Scott County, IN
(41.449963, -87.470184)"
CN2121500000000,21,215,Spencer County,KY,01/01/2014 12:00:00 AM,9164,8680,484,5.3,"Spencer County, KY
(37.481899, -85.992798)"
CN2110700000000,21,107,Hopkins County,KY,01/01/2014 12:00:00 AM,20432,19115,1317,6.4,"Hopkins County, KY
(36.865586, -87.488906)"
CN2113900000000,21,139,Livingston County,KY,01/01/2014 12:00:00 AM,3762,3453,309,8.2,"Livingston County, KY
(37.296258, -84.214243)"
CN2206500000000,22,065,Madison Parish,LA,01/01/2014 12:00:00 AM,3928,3495,433,11,"Madison Parish, LA
(30.406173, -90.156721)"
CN2106500000000,21,065,Estill County,KY,01/01/2014 12:00:00 AM,5411,5004,407,7.5,"Estill County, KY
(38.047199, -84.444397)"
CN2020700000000,20,207,Woodson County,KS,01/01/2014 12:00:00 AM,1630,1544,86,5.3,"Woodson County, KS
(38.988098, -95.556099)"
CN1705500000000,17,055,Franklin County,IL,01/01/2014 12:00:00 AM,16680,15149,1531,9.2,"Franklin County, IL
(41.497714, -87.848431)"
CN2602300000000,26,023,Branch County,MI,01/01/2014 12:00:00 AM,19265,17974,1291,6.7,"Branch County, MI
(41.946404, -86.338655)"
CN2000700000000,20,007,Barber County,KS,01/01/2014 12:00:00 AM,2719,2636,83,3.1,"Barber County, KS
(37.567799, -94.6483)"
CN2004300000000,20,043,Doniphan County,KS,01/01/2014 12:00:00 AM,4301,4107,194,4.5,"Doniphan County, KS
(39.641701, -95.080597)"
CN2900700000000,29,007,Audrain County,MO,01/01/2014 12:00:00 AM,11284,10656,628,5.6,"Audrain County, MO
(38.397419, -94.351767)"
CN1913100000000,19,131,Mitchell County,IA,01/01/2014 12:00:00 AM,5478,5282,196,3.6,"Mitchell County, IA
(41.66864, -93.358065)"
CN1814900000000,18,149,Starke County,IN,01/01/2014 12:00:00 AM,10232,9493,739,7.2,"Starke County, IN
(39.809152, -85.28981)"
CN2108900000000,21,089,Greenup County,KY,01/01/2014 12:00:00 AM,14300,13082,1218,8.5,"Greenup County, KY
(38.573176, -82.830708)"
CN2208900000000,22,089,St. Charles Parish,LA,01/01/2014 12:00:00 AM,25521,23970,1551,6.1,"St. Charles Parish, LA
(31.9611, -91.424698)"
CN1914500000000,19,145,Page County,IA,01/01/2014 12:00:00 AM,6620,6324,296,4.5,"Page County, IA
(40.7122, -95.129402)"
